user,text
@TwitterSupport,"We had planned for Fleets to help people feel comfortable joining the conversation in a low-pressure way, but it turns out Fleets were mainly used by those Tweeting the most. So now we're ready to explore other ways for people to share on Twitter. (2/4)"
@TwitterSupport,We learned a lot from Fleets and we’re excited to focus on newer and better ways to start conversations on Twitter. We’re proud of the work so far and have no plans of slowing down. (3/4)
@TwitterSupport,"Taking big chances helps us make the best product possible for you, but it doesn't always work out like we planned. It’s not always easy to say goodbye to a feature like Fleets, but we’re excited to get back to work on what we’ve got planned next: https://blog.twitter.com/en_us/topics/product/2021/goodbye-fleets.html… (4/4)"
user,text
@sebparkinson,And an edit button but only once you do the above
@ladyofacat,"Please let us have multiple gifs per tweet I’m begging on my knees. It would be such a popular feature, everyone would love it especially me"
@krysxpp2,"Hi @TwitterSupport i've been following @krysxpp for long time, this user has never done anything to violate twitter rules. It's suspended w/no email notice. Could u please consider&unsuspend it? She appealed the restriction via case no. #0215097024 bt still no response, TIA."
@BackupKy1e,"Hi @TwitterSupport , I filed a DMCA counter-notification over 10 days ago and never got a notice. This means that my account (@Ky1eWRLD) should have been unsuspended. However, it is still locked. Please unlock my account because it is now in good standing. Case # 0203668923"
@fluffykittensox,I’m impressed that you have actually taken note of what didn’t work and also listened to the populace. Thank you for that it’s appreciated.
@TwitterSupport,
@ukkunn666,"@TwitterSupport Hi, my Twitter account @_Tyupi_ got suspended and I've never violated the Twitter rules. Could you please consider and unsuspend it? I appealed the suspension via the Help Center form but obtained no response. Thank you! Case # 0209112621"
@NickTurner13,"How about getting rid of racists, where's that on your list of priorities?"
@jkkcult,"Please @TwitterSupport Can u unblock my acc @jikookculture ? I really didn't violated any Twitter rules, I am having issues to reset my password cause I don't have email registred to it, just phone number, and it doesn't work. Please help me, this acc it's really important to me!"
@PBTyrrell,"I love it, removal is critical in great design. Well done."
@Psychofrreak,Hello my account ( @bpcabello ) got suspended and I've never violated the Twitter rules. Could you please consider and unsuspend it? I appealed the suspension several times via the Help Center form but obtained no response. Case #0197373131
@themrvels,Hi @TwitterSupport my account @caroldenvrs got suspended could you please consider and unsuspend it? I appealed the suspension via the Help Center form but obtained no response. Case #0197146719 and #0210740369
@dahlila,Buh-bye.
@jmitboyism,#TwitterUnmuteJimin Please unmute Jimin’s name it’s been years already
@nbranche,Interesting. I hope @Twitter doesn’t kill off voice tweets before I get to try it…that feature launched before fleets and I never got around to fleeting
@althel7,احسن، بعضهم كل يوم ينزل كومة تغريدات ويصور تغريداته ويحطها فلييت! باقي يلاحق فيها الناس في الشوارع نشوف تغريداته. وشكله يرسل على قروبات الواتساب روابط تغريداته وفي الحالة على الواتساب
@dumbledong,Hey @twittersupport my business account (580k) was suspended due to false copyright claims @ellebrookeuk . I successfully appealed all claims and was told after 10 business days my account would be reinstated. I still haven’t obtained any response. Please help #0211860185
@TwitterSupport,Thanks for sticking with us. We're experiencing a rise in cases and our team is working quickly to respond as soon as they can.
@Thunder_Owl,Thank You for throwing that out.
@EBOlady,Hope nothing you do deters me from my favorite function: blocking.
@BriEscobarC,"Editar tuits, no es complicado"
@chaoaretasty,Please give me the space back that the fleets took up rather than replace what you show there
@ThomBartley,"Please don’t pull a @mosseri and hit us with a “we’re not longer a short message sharing app”. Insta lost its way because all it does is steal other people’s ideas (Stories = worked, push towards video / shopping doesn’t) Hope you come up with something original / good"
@Alone_Rider1212,Plz add reel option like ig and you tube Thank you
@joelvmills,"I’d like to see recent tweets in time order. When reading Twitter around an activity or event news, sport or whatever I want to see up to date commentary not yesterday’s tweets. The ICYMI function was better than a jumbled chronology."
@nhfabioo,Something is not working on my twitter account! I can't see the most engaged tweets when I click on the TOP section. Instead it shows the most recent ones! Help me!
@Kathleenhamil15,"Fleets, we hardly knew ye..."
@PeacefulPagoda,"Glad to not have the insta stories or snaps, now we just need an rdit button."
